County,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021,01/12/2021,01/13/2021,01/14/2021,01/15/2021,01/16/2021,01/17/2021,01/18/2021,01/19/2021,01/20/2021,01/21/2021,01/22/2021,01/23/2021,01/24/2021,01/25/2021,01/26/2021,01/27/2021,01/28/2021,01/29/2021,01/30/2021,01/31/2021,02/01/2021,02/02/2021,02/03/2021,02/04/2021,02/05/2021,02/06/2021,02/07/2021,02/08/2021,02/09/2021,02/10/2021,02/11/2021,02/12/2021,02/13/2021,02/14/2021,02/15/2021,02/16/2021,02/17/2021,02/18/2021,02/19/2021,02/20/2021,02/21/2021,02/22/2021,02/23/2021,02/24/2021,02/25/2021,02/26/2021,02/27/2021,02/28/2021,03/01/2021,03/02/2021,03/03/2021,03/04/2021,03/05/2021,03/06/2021,03/07/2021,03/08/2021,03/09/2021,03/10/2021,03/11/2021,03/12/2021,03/13/2021,03/14/2021,03/15/2021,03/16/2021,03/17/2021,03/18/2021,03/19/2021,03/20/2021,03/21/2021,03/22/2021,03/23/2021,03/24/2021,03/25/2021,03/26/2021,03/27/2021,03/28/2021,03/29/2021,03/30/2021,03/31/2021,04/01/2021,04/02/2021,04/03/2021,04/04/2021,04/05/2021,04/06/2021,04/07/2021,04/08/2021,04/09/2021,04/10/2021,04/11/2021,04/12/2021,04/13/2021,04/14/2021,04/15/2021,04/16/2021,04/17/2021,04/18/2021,04/19/2021,04/20/2021,04/21/2021,04/22/2021,04/23/2021,04/24/2021,04/25/2021,04/26/2021,04/27/2021,04/28/2021,04/29/2021,04/30/2021,05/01/2021,05/02/2021,05/03/2021,05/04/2021,05/05/2021,05/06/2021,05/07/2021,05/08/2021,05/09/2021,05/10/2021,05/11/2021,05/12/2021,05/13/2021,05/14/2021,05/15/2021,05/16/2021,05/17/2021,05/18/2021,05/19/2021,05/20/2021,05/21/2021,05/22/2021,05/23/2021,05/24/2021,05/25/2021,05/26/2021,05/27/2021,05/28/2021,05/29/2021,05/30/2021,05/31/2021,06/01/2021,06/02/2021,06/03/2021,06/04/2021,06/05/2021,06/06/2021,06/07/2021,06/08/2021,06/09/2021,06/10/2021,06/11/2021,06/12/2021,06/13/2021,06/14/2021,06/15/2021,06/16/2021,06/17/2021,06/18/2021,06/19/2021,06/20/2021,06/21/2021,06/22/2021,06/23/2021,06/24/2021,06/25/2021,06/26/2021,06/27/2021,06/28/2021,06/29/2021,06/30/2021,07/01/2021,07/02/2021,07/03/2021,07/04/2021,07/05/2021,07/06/2021,07/07/2021,07/08/2021,07/09/2021,07/10/2021,07/11/2021,07/12/2021,07/13/2021,07/14/2021,07/15/2021,07/16/2021,07/17/2021,07/18/2021,07/19/2021,07/20/2021,07/21/2021,07/22/2021,07/23/2021,07/24/2021,07/25/2021,07/26/2021,07/27/2021,07/28/2021,07/29/2021,07/30/2021,07/31/2021,08/01/2021,08/02/2021,08/03/2021,08/04/2021,08/05/2021,08/06/2021,08/07/2021,08/08/2021,08/09/2021,08/10/2021,08/11/2021,08/12/2021,08/13/2021,08/14/2021,08/15/2021,08/16/2021,08/17/2021,08/18/2021,08/19/2021,08/20/2021,08/21/2021,08/22/2021,08/23/2021,08/24/2021,08/25/2021,08/26/2021,08/27/2021,08/28/2021,08/29/2021,08/30/2021,08/31/2021,09/01/2021,09/02/2021,09/03/2021,09/04/2021,09/05/2021,09/06/2021,09/07/2021,09/08/2021,09/09/2021,09/10/2021,09/11/2021,09/12/2021,09/13/2021,09/14/2021,09/15/2021,09/16/2021,09/17/2021,09/18/2021,09/19/2021,09/20/2021,09/21/2021,09/22/2021,09/23/2021,09/24/2021,09/25/2021,09/26/2021,09/27/2021,09/28/2021,09/29/2021,09/30/2021,10/01/2021,10/02/2021,10/03/2021,10/04/2021,10/05/2021,10/06/2021,10/07/2021,10/08/2021,10/09/2021,10/10/2021,10/11/2021,10/12/2021,10/13/2021,10/14/2021,10/15/2021,10/16/2021,10/17/2021,10/18/2021,10/19/2021,10/20/2021,10/21/2021,10/22/2021,10/23/2021,10/24/2021,10/25/2021,10/26/2021,10/27/2021,10/28/2021,10/29/2021,10/30/2021,10/31/2021,11/01/2021,11/02/2021,11/03/2021,11/04/2021,11/05/2021,11/06/2021,11/07/2021,11/08/2021,11/09/2021,11/10/2021,11/11/2021,11/12/2021,11/13/2021,11/14/2021,11/15/2021,11/16/2021,11/17/2021,11/18/2021,11/19/2021,11/20/2021,11/21/2021,11/22/2021,11/23/2021,11/24/2021,11/25/2021,11/26/2021,11/27/2021,11/28/2021,11/29/2021,11/30/2021,12/01/2021,12/02/2021,12/03/2021,12/04/2021,12/05/2021,12/06/2021,12/07/2021,12/08/2021,12/09/2021,12/10/2021,12/11/2021,12/12/2021,12/13/2021,12/14/2021,12/15/2021,12/16/2021,12/17/2021,12/18/2021,12/19/2021,12/20/2021,12/21/2021,12/22/2021,12/23/2021,12/24/2021,12/25/2021,12/26/2021,12/27/2021,12/28/2021,12/29/2021,12/30/2021,12/31/2021
Deaf Smith,26,0,0,0,17,7,2,9,1,0,0,9,3,5,4,4,0,0,4,0,0,7,2,0,0,3,10,-4,0,4,0,0,1,7,5,2,2,0,0,12,6,4,3,5,0,0,0,0,0,0,9,0,0,7,0,3,4,0,0,0,6,2,-1,1,0,0,0,4,1,1,0,1,0,0,3,0,0,0,0,0,0,4,4,0,-3,1,0,0,0,4,1,-11,0,0,0,6,0,3,0,2,0,0,4,0,0,0,0,0,0,3,1,0,0,0,0,0,2,1,0,1,0,0,0,1,2,0,-1,0,0,0,0,0,1,0,4,0,0,0,2,1,2,0,0,0,1,2,1,0,0,0,0,-3,3,0,0,0,0,0,0,2,0,0,1,0,0,1,1,-2,0,0,0,0,-7,-2,-14,-1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,5,0,2,0,2,0,0,11,3,6,2,7,0,0,12,2,6,0,2,0,0,4,-2,3,7,1,0,0,17,-1,0,2,-1,0,0,1,1,2,7,9,0,0,0,5,0,0,8,0,0,0,10,7,0,11,0,0,2,0,8,7,1,0,0,2,7,1,10,0,0,0,0,5,0,-1,9,0,0,2,0,3,0,0,0,0,0,2,2,4,0,0,0,5,0,3,0,2,0,0,7,0,0,4,0,0,0,8,0,4,0,1,0,0,10,0,1,0,5,0,0,3,2,0,7,2,0,0,5,0,0,0,0,0,12,2,2,1,9,1,2,5,0,2,0,7,1,1,2,3,7,0,4,6,3,1,2,6,11,15,1,0,2,6,3,5,4
Delta,2,1,6,2,2,2,0,0,1,2,0,2,2,1,0,2,1,1,4,3,-1,4,1,0,0,3,7,1,2,2,3,3,4,1,0,1,2,0,0,3,1,0,1,3,2,0,0,0,0,1,0,1,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,1,0,2,0,0,0,0,1,1,2,1,0,2,0,1,1,2,3,3,3,1,0,3,5,1,1,2,2,1,4,3,0,1,2,0,1,5,12,1,3,0,2,3,3,4,7,1,3,0,0,8,2,2,1,0,0,0,5,0,1,2,1,0,0,1,0,0,1,0,0,0,2,2,2,3,3,0,0,0,2,1,0,2,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,1,3,2,1,0,0,3,5,1,6,3,1,2,0,2,3,1,6,0,1,3,0,4,1,2,1,1,0,1,2,0,1,0
Denton,401,0,492,0,359,418,478,512,433,296,0,391,462,503,381,345,280,0,0,739,587,548,471,159,0,370,514,434,476,395,183,0,386,355,411,278,275,167,0,401,410,468,407,341,191,0,0,0,0,0,0,0,0,517,544,390,420,315,181,0,399,259,369,314,211,176,0,328,246,357,172,181,49,0,178,290,207,123,57,0,0,131,61,87,53,49,0,0,106,44,60,67,0,0,0,122,101,64,41,55,0,0,109,83,0,66,54,0,0,144,107,27,34,71,0,0,75,76,39,60,61,0,0,90,51,58,46,66,0,0,75,86,58,60,28,0,0,68,67,31,23,25,0,0,68,56,33,48,17,0,0,0,36,34,21,27,0,0,43,23,29,14,18,0,0,40,40,16,20,17,0,0,44,30,14,14,15,0,0,56,27,26,14,14,0,0,0,48,55,50,48,0,0,91,57,61,35,54,0,0,135,73,115,131,95,0,0,79,158,158,139,112,0,0,203,141,137,140,271,0,0,565,303,383,379,251,0,0,491,313,298,320,276,0,0,486,390,312,304,286,0,0,496,340,290,244,337,0,0,0,793,452,394,303,0,0,609,479,307,373,424,0,0,490,395,354,305,320,0,0,455,291,362,266,250,0,0,388,297,225,227,253,0,0,269,209,268,265,217,0,0,172,203,227,180,174,0,0,169,196,146,159,157,0,0,148,131,112,84,62,0,0,92,105,129,0,113,0,0,128,159,149,70,91,0,0,96,92,94,0,0,0,0,118,61,95,123,101,86,83,104,69,102,100,92,54,83,86,91,76,89,125,127,172,182,104,142,226,315,206,297,355,194,396,265
DeWitt,20,0,0,0,-1,1,0,1,79,0,0,22,0,0,1,4,0,0,0,0,0,59,0,0,43,22,0,0,12,2,0,0,37,-1,3,1,38,0,0,40,1,0,-1,29,0,0,0,0,0,0,0,0,0,12,0,0,-4,0,3,0,-1,3,-1,0,16,0,0,9,4,6,0,0,0,0,0,0,0,1,6,0,0,1,-2,-1,0,2,0,0,0,-2,0,-1,-1,0,0,-2,0,1,-2,1,0,0,-1,-2,9,-1,-4,0,-4,-7,0,0,4,0,0,0,0,1,22,2,-2,0,0,-2,0,0,1,-2,0,0,2,0,1,1,0,0,1,-1,0,0,0,2,0,0,-1,0,-3,1,0,0,0,0,2,2,-1,0,0,0,0,1,32,-33,1,0,0,1,0,0,-1,1,0,0,0,0,1,1,0,0,11,0,0,-2,-2,0,0,1,0,1,0,-1,18,0,0,1,-3,0,3,0,0,0,-1,1,0,3,-1,0,0,0,39,-1,-2,1,0,0,22,0,1,6,-2,0,0,0,3,0,3,0,0,0,1,0,0,-1,-1,0,0,-1,1,2,0,314,0,0,0,1,1,0,116,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-4,0,-1,2,0,0,0,0,197,0,1,1,0,0,47,0,0,0,1,0,0,-2,-2,-1,2,0,0,0,-1,0,1,-2,0,0,0,0,0,0,-2,-2,0,0,-2,0,2,0,-3,0,0,1,-4,0,0,1,0,0,0,0,0,1,74,0,0,0,0,-5,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,2,2,2,1,2,2,0,0,0,6
Dickens,6,0,0,0,0,1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,2,-1,0,0,1,-1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2,-1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Dimmit,0,0,0,0,60,2,35,12,8,0,0,0,61,1,4,23,0,0,0,57,68,1,56,0,0,0,1,28,1,95,0,0,5,19,12,11,4,0,0,21,42,0,20,1,0,0,0,0,0,1,0,0,0,18,0,3,3,0,7,0,2,19,0,0,5,0,0,0,1,0,4,1,0,0,0,29,2,0,1,0,0,-6,73,0,7,6,0,0,0,44,-1,12,0,0,0,4,24,16,0,0,0,0,0,23,30,0,28,0,0,0,21,3,0,0,0,0,18,0,7,56,0,0,78,0,0,0,6,0,0,0,19,0,3,3,5,0,0,4,1,3,2,2,0,0,23,0,0,13,3,0,0,0,7,0,5,1,0,0,20,25,10,0,10,0,0,20,12,0,0,7,0,0,0,0,3,19,27,0,0,23,18,0,19,0,0,0,40,8,0,4,0,0,0,50,12,6,23,2,0,0,5,2,6,27,45,0,0,39,13,4,11,13,0,0,50,48,1,38,1,0,0,31,44,0,10,2,0,0,15,37,39,1,16,0,7,22,13,3,6,0,0,1,11,1,15,26,13,0,0,0,14,3,1,0,0,4,10,1,4,0,0,0,7,0,16,1,0,0,0,17,1,4,2,0,0,0,1,0,10,5,10,0,0,2,11,1,3,0,0,0,0,0,7,0,1,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,4,0,0,5,0,0,0,0,0,0,0,-1,2,0,1,1,0,0,0,0,1,2,0,0,0,1,0,0,3,3,0,4,0,4,3,4,1,13,1,0,1,1,0
Donley,3,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,3,0,3,0,0,0,0,2,4,0,2,0,0,0,2,0,3,0,0,0,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,4,0,0,0,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,-1,0,0,2,0,1,2,1,0,0,0,1,0,0,0,0,0,0,5,0,1,2,0,0,2,0,2,1,1,0,0,0,0,-1,0,-1,0,0,0,1,0,0,3,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,3,1,0,1,1,0,0,3,0,0,0,0,0,3,1,1,0,2,0,0,3,0,0,2,3,1,0,2,3,1,0,0,0,0,3,0,1,2,2,0,0,5,1,1,1,1
Duval,0,0,6,0,31,12,5,3,12,16,0,6,19,14,4,0,8,0,4,11,3,4,10,3,0,11,4,0,2,8,4,0,5,-1,0,-2,12,2,0,2,3,-2,-3,5,0,0,4,0,0,1,0,0,0,0,54,0,4,1,0,0,0,-10,0,2,3,0,0,3,1,1,4,3,2,0,1,1,1,1,0,0,0,1,14,1,2,0,0,0,1,-2,1,0,1,0,0,0,0,1,2,0,1,0,1,0,-1,4,-1,0,0,3,0,4,0,0,1,0,2,1,1,3,2,1,0,1,1,-1,1,2,0,0,2,-1,1,2,1,0,0,-1,0,1,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,2,0,0,0,0,1,0,-4,-1,0,0,2,0,0,2,0,0,0,-1,0,0,0,0,2,0,0,0,-1,0,0,2,0,0,2,0,1,0,0,0,21,2,4,3,1,-1,0,36,4,3,10,-6,2,0,2,1,7,4,9,4,0,7,16,5,4,6,1,0,24,5,3,20,5,11,0,9,5,1,2,9,2,0,3,7,12,3,2,1,0,0,5,0,13,11,8,0,8,12,4,3,5,3,0,3,4,1,0,7,0,0,2,4,0,4,6,0,0,3,-2,3,4,2,1,0,1,1,3,-6,2,0,0,0,-1,-2,0,1,1,0,0,0,3,0,0,0,0,0,3,-1,0,0,2,0,1,0,1,1,11,0,0,0,0,-2,1,-1,0,0,0,-1,0,0,0,0,2,0,0,0,1,11,0,1,10,1,4,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,2,0,1,0,2,3
Eastland,1,0,0,0,39,3,4,8,1,0,0,7,10,13,2,3,0,0,0,22,0,4,3,0,0,3,1,7,4,2,0,0,7,9,8,3,11,0,0,7,8,1,5,1,0,0,0,6,0,0,0,0,0,0,15,1,3,2,0,0,6,1,2,0,1,0,0,1,0,2,0,0,0,0,0,2,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,-1,0,1,2,0,0,0,-1,0,0,0,0,0,1,1,0,7,4,0,0,14,5,10,8,6,0,0,4,3,5,2,4,0,0,12,14,26,9,9,0,0,4,2,19,6,0,0,0,32,4,13,4,7,0,0,0,21,2,1,1,0,0,9,8,6,7,2,0,0,14,2,3,0,23,0,0,14,0,3,3,2,0,0,12,5,0,0,1,0,0,8,1,5,4,-4,0,0,3,0,4,1,2,0,0,4,0,0,-1,1,0,0,5,0,0,1,1,0,0,2,0,0,0,1,0,0,3,0,0,0,2,0,0,3,2,0,0,0,0,1,3,3,1,3,1,1,0,12,3,0,0,1,1,0,0,0,0,3,2,0,1,4,1,3,3,2,1,2,3,4,3,5
Ector,0,0,0,0,0,0,0,0,0,0,0,0,10,84,59,31,0,0,0,97,119,104,36,0,0,26,15,10,3,19,0,0,125,118,192,110,140,0,0,186,109,70,119,16,0,0,0,0,0,0,0,0,0,165,49,19,20,2,0,0,14,8,4,6,4,0,0,7,4,8,1,2,0,0,8,3,12,7,3,0,0,10,6,5,5,6,-6,0,15,0,0,5,1,0,0,17,13,5,6,7,0,0,14,12,5,6,4,0,0,13,4,5,24,3,0,0,8,39,10,10,28,0,0,24,0,4,8,0,0,0,41,7,2,16,3,0,0,21,7,2,2,7,0,0,16,1,0,5,1,0,0,0,13,1,3,2,0,0,9,0,3,2,3,0,0,2,1,1,2,4,0,0,3,2,1,7,4,0,0,11,5,9,4,7,0,0,0,13,14,3,15,0,0,27,0,18,9,15,0,0,35,16,13,15,30,0,0,14,72,44,39,14,0,0,0,147,93,70,24,0,0,29,0,161,61,85,0,0,67,624,123,95,32,0,0,38,110,114,90,50,0,0,0,147,103,45,77,0,0,0,31,41,110,54,0,0,78,106,96,79,0,0,0,81,65,71,49,100,0,0,64,64,30,12,10,0,0,109,0,0,0,18,0,0,23,2,8,10,8,0,0,24,22,7,9,5,0,0,15,5,2,13,15,0,0,18,12,12,9,8,0,0,4,0,0,0,44,0,0,11,16,14,18,8,0,0,13,11,0,0,0,0,0,28,40,25,31,40,33,27,48,45,25,43,35,11,37,22,24,26,18,16,37,9,29,16,36,17,24,43,24,21,28,34,17
Edwards,0,0,0,0,6,0,5,1,1,0,0,0,3,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,3,4,0,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
El Paso,338,393,343,215,531,511,376,593,808,301,590,298,564,633,422,543,359,496,353,453,556,547,0,981,0,936,628,530,368,464,480,0,696,416,455,512,404,310,374,331,350,474,432,364,296,284,150,182,313,183,213,521,262,247,267,303,112,446,209,266,170,199,310,216,177,109,166,257,134,189,191,194,154,135,127,180,125,108,157,156,124,126,172,168,150,148,88,92,87,277,209,154,137,68,126,202,184,223,124,147,123,175,99,177,147,130,73,215,77,232,192,137,81,122,69,90,73,236,174,108,148,70,61,48,46,0,91,79,71,34,60,105,38,45,38,68,53,76,107,50,42,33,25,1,43,23,21,53,16,41,20,10,21,26,12,11,25,18,5,8,31,15,13,4,5,5,13,11,33,20,9,3,24,23,12,17,27,16,7,33,11,18,16,30,11,8,28,27,28,21,49,18,12,63,33,64,51,74,23,21,103,46,33,69,39,13,21,121,119,91,80,103,27,0,157,98,145,108,109,37,129,118,105,84,117,134,63,70,127,167,96,167,156,57,76,102,241,139,95,107,67,0,97,109,103,121,80,73,96,94,60,109,103,84,82,45,0,143,109,85,107,69,62,66,126,122,88,87,114,85,0,0,137,163,114,148,141,0,120,0,182,164,129,117,96,160,62,125,109,96,145,0,132,166,146,112,174,117,0,152,154,0,235,188,161,149,196,272,0,302,199,263,237,268,412,0,627,0,559,314,331,600,510,0,241,305,568,289,673,216,469,231,215,467,227,226,349,305,375,366,308,219,140,242,410,168,248,247,83,97,95,181,304,205,162,71,104,96,106,85,144,308,88,86,165
Ellis,13,0,0,0,774,177,197,178,95,0,0,641,98,255,147,101,0,0,0,717,48,113,124,0,0,396,27,131,73,76,0,0,364,98,81,102,85,0,0,161,97,57,53,75,0,0,0,190,0,0,65,0,0,54,13,38,43,29,0,0,81,6,41,15,23,0,0,21,12,10,31,12,0,0,36,7,4,12,16,0,0,33,13,7,4,6,0,0,30,6,6,4,-7,0,0,12,11,6,5,5,0,0,44,7,7,2,2,0,0,26,11,9,1,1,0,0,30,3,12,9,12,0,0,37,4,10,6,6,0,0,20,2,6,15,6,0,0,14,12,2,4,3,0,0,16,8,3,10,2,0,0,0,21,10,1,5,0,0,9,4,17,0,5,0,0,5,0,30,1,10,0,0,15,-3,8,-2,0,0,0,-12,0,-13,0,12,0,0,-12,3,12,0,-5,0,0,25,-8,42,9,17,0,0,1,-11,38,16,14,0,0,83,17,65,42,41,0,0,112,29,122,107,47,0,0,173,59,97,54,79,0,0,291,128,99,52,38,0,0,150,182,109,107,0,0,0,300,98,226,246,62,0,0,0,573,179,121,54,0,0,283,116,151,106,80,0,0,232,28,125,0,165,0,0,182,71,69,42,42,0,0,124,30,54,49,35,0,0,165,40,36,27,-6,0,0,71,24,56,28,25,0,0,58,13,33,17,9,0,0,56,5,5,4,13,0,0,25,11,14,0,20,0,0,11,6,2,2,5,0,0,17,13,0,0,0,0,1,20,19,18,18,21,8,15,31,26,25,24,25,9,23,22,18,22,23,33,18,44,49,21,43,62,74,29,85,69,45,106,85
Erath,2,0,0,0,61,33,12,10,18,0,0,40,7,20,15,14,0,0,0,30,3,9,8,0,0,19,16,19,2,5,0,0,23,5,8,6,14,0,0,12,15,2,4,7,0,0,0,15,0,0,8,0,0,7,0,3,3,4,0,0,6,4,1,3,3,0,0,4,1,-2,4,2,0,0,5,1,0,2,2,0,0,2,0,2,1,3,0,0,4,0,4,6,12,0,0,4,3,3,0,1,0,0,3,1,1,1,0,0,0,3,4,0,0,2,0,0,1,2,1,1,3,0,0,1,0,2,0,0,0,0,2,0,3,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,1,3,0,1,0,0,2,0,5,0,0,0,0,1,-4,1,1,0,0,0,5,0,0,1,0,0,0,1,3,1,0,3,0,0,2,2,3,0,2,0,0,-2,-1,6,2,8,0,0,16,4,21,4,11,0,0,42,10,38,16,19,0,0,41,9,18,19,8,0,0,37,21,31,13,14,0,0,15,13,26,33,0,0,0,62,24,37,26,20,0,0,0,110,20,23,24,0,0,59,16,44,27,17,0,0,39,2,16,0,30,0,0,31,4,12,4,9,0,0,22,7,16,8,2,0,0,17,1,9,5,-2,0,0,5,0,4,1,2,0,0,16,1,1,5,0,0,0,6,0,1,2,2,0,0,8,1,5,0,4,0,0,5,4,2,3,2,0,0,2,0,0,0,0,0,1,5,7,4,6,8,3,3,11,5,4,3,6,0,5,4,3,2,1,4,4,0,7,0,1,1,3,2,8,8,3,1,23
Falls,13,0,5,0,5,12,1,15,3,2,3,0,14,22,20,-2,0,0,0,4,31,13,6,0,-18,4,0,1,7,-1,3,110,0,-1,6,0,0,2,3,16,2,0,-8,7,-1,0,4,4,0,1,-15,0,3,-7,5,-1,7,3,0,0,0,0,0,1,0,0,1,1,3,3,0,1,0,1,0,2,1,-1,3,0,1,1,3,4,-24,40,0,3,-29,-1,-6,3,-11,0,0,-1,3,-5,1,1,0,1,-4,-2,-1,10,-4,0,6,3,1,1,0,0,0,0,-5,0,-2,1,1,0,2,0,-2,-2,0,1,1,2,-2,0,3,1,-4,0,2,-1,0,-1,4,3,0,0,1,0,1,4,-3,0,0,0,-2,1,0,1,0,0,-2,1,3,-2,1,0,0,-1,2,1,1,-1,0,0,1,0,0,0,0,0,0,-3,0,0,-4,1,2,0,0,-2,-3,-1,0,0,0,-1,0,-1,1,1,0,0,0,1,2,4,0,0,5,1,3,0,2,1,0,6,3,5,5,3,3,0,2,9,2,5,0,1,0,4,9,11,5,5,0,0,18,2,15,1,6,4,0,13,1,15,1,6,-2,0,17,10,2,0,12,1,0,11,5,0,2,7,6,0,0,1,0,3,0,36,0,6,8,48,1,1,3,0,1,0,1,2,-4,3,0,4,2,1,1,3,13,0,5,-4,0,3,1,1,0,3,0,0,0,1,0,0,0,-3,-1,-5,0,2,0,1,-1,-3,0,1,0,-6,0,0,-2,0,0,-1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,1,0,2,1,0,1,1,0,1,3,0,0,3,1,1,4,1,2,0,2,3,0,3
